conference	award_year	paper_title	if_tot	if_best_paper
NeurIPS	2021	Online Learning for Latent Dirichlet Allocation	1	0
NeurIPS	2021	Additive Gaussian Processes	0	0
NeurIPS	2021	Double Q-learning	0	0
NeurIPS	2021	Adaptive Multi-Task Lasso: with Application to...	0	0
NeurIPS	2021	Multi-View Active Learning in the Non-Realizab...	0	0
NeurIPS	2021	Multiparty Differential Privacy via Aggregatio...	0	0
NeurIPS	2021	Evaluation of Rarity of Fingerprints in Forensics	0	0
NeurIPS	2021	Natural Policy Gradient Methods with Parameter...	0	0
NeurIPS	2021	Nonlinear Inverse Reinforcement Learning with	0	0
NeurIPS	2020	Learning Fair Representations	1	0
NeurIPS	2020	An Inverse Power Method for Nonlinear Eigenpr	0	0
NeurIPS	2020	Nonparametric Greedy Algorithms for the Sparse...	0	0
NeurIPS	2020	Extended Bayesian Information Criteria for Gau.	0	0
NeurIPS	2020	An Infinite Factor Model Hierarchy Via a Noisy...	0	0
NeurIPS	2020	Bilinear classifiers for visual recognition	0	0
NeurIPS	2020	Streaming Pointwise Mutual Information	0	0
NeurIPS	2020	Guaranteed Rank Minimization via Singular Valu	0	0
NeurIPS	2020	Linear-time Algorithms for Pairwise Statistica...	0	0
NeurIPS	2020	Fast Image Deconvolution using Hyper-Laplacian...	0	0
NeurIPS	2020	Robust PCA via Outlier Pursuit	0	0
NeurIPS	2019	Dual Averaging Methods for Regularized Stochas	1	0
NeurIPS	2019	Matrix Completion from Noisy Entries	0	0
NeurIPS	2019	Data-driven calibration of linear estimators w...	0	0
NeurIPS	2019	Subject independent EEG-based BCI decoding	0	0
NeurIPS	2019	Exponential Family Graph Matching and Ranking	0	0
NeurIPS	2019	Time-Varying Dynamic Bayesian Networks	0	0
NeurIPS	2019	Slow, Decorrelated Features for Pretraining Co...	0	0
NeurIPS	2019	Sufficient Conditions for Agnostic Active Lear...	0	0
NeurIPS	2019	Monte Carlo Sampling for Regret Minimization	0	0
NeurIPS	2018	The Tradeoffs of Large Scale Learning	1	0
NeurIPS	2018	HM-BiTAM: Bilingual Topic Exploration, Word Al...	0	0
NeurIPS	2018	Compressed Regression	0	0
NeurIPS	2018	FilterBoost: Regression and Classification on	0	0
NeurIPS	2018	DIFFRAC: a discriminative and flexible framewo...	0	0
NeurIPS	2018	A Constraint Generation Approach to Learning S...	0	0
NeurIPS	2018	From Online to Batch Learning with Cutoff-Averaging	0	0
NeurIPS	2018	Asynchronous Distributed Learning of Topic Models	0	0
NeurIPS	2017	Random Features for Large-Scale Kernel Machines	1	0
NeurIPS	2017	Bundle Methods for Machine Learning	0	0
NeurIPS	2017	Efficiently solving convex relaxations for MAP...	0	0
NeurIPS	2017	Spectral Dependency Parsing with Latent Variables	0	0
NeurIPS	2017	Ensemble Clustering using Semidefinite Program...	0	0
NeurIPS	2017	Random Projections for Manifold Learning	0	0
NeurIPS	2017	Loop Series and Bethe Variational Bounds in At...	0	0
NeurIPS	2017	N-gram-based Tense Models for Statistical Mach...	0	0
NeurIPS	2017	Syntactic Transfer Using a Bilingual Lexicon	0	0
NeurIPS	2017	Regret Minimization in Games with Incomplete I...	0	0
